ticker,trailingPE,forwardPE,returnOnEquity,debtToEquity,beta
KLAC,9.3,6.9,0.363,0.6,0.59
BKNG,30.8,30.2,0.332,45.6,0.64
SAN,41.2,32.1,0.332,30.5,0.73
ACN,16.9,14.0,0.198,25.8,0.77
SPGI,6.9,5.2,0.277,14.0,0.57
UL,6.6,7.5,0.247,96.1,0.73
ARM,7.9,8.6,0.218,74.5,0.81
BSX,6.6,7.8,0.283,28.6,0.73
TXN,22.3,17.7,0.25,41.4,0.63
PFE,18.5,20.3,0.349,121.6,0.55
BA,11.2,10.4,0.333,10.1,0.38
TD,9.2,7.6,0.293,6.3,0.57
SYK,9.7,8.5,0.307,9.7,0.88
TTE,38.1,27.3,0.32,10.5,0.66
PANW,17.6,19.5,0.303,178.1,0.63
WELL,22.5,23.2,0.165,31.1,0.44
BHP,31.6,33.7,0.38,8.2,0.59
ETN,31.4,36.1,0.253,4.2,0.99
ADBE,20.9,24.2,0.245,15.0,0.84
UNP,32.8,25.6,0.315,64.1,0.44
PGR,4.7,5.2,0.266,5.0,0.67
CRWD,13.6,15.2,0.304,25.5,0.71
MDT,15.2,17.7,0.293,20.3,0.79
COF,57.6,44.3,0.221,7.1,0.84
DE,22.8,25.6,0.258,148.9,0.59
LOW,31.9,25.8,0.247,6.4,0.89
SPOT,23.1,20.8,0.246,35.5,0.49
HON,14.8,12.8,0.2,8.6,0.44
SNY,18.2,18.8,0.312,12.8,0.93
UBS,6.1,5.9,0.308,42.9,0.76
BUD,22.9,21.6,0.326,3.0,0.92
BTI,28.9,22.0,0.358,11.0,0.57
RIO,15.7,11.3,0.303,15.1,1.0
BBVA,47.0,54.0,0.291,15.0,0.86
PLD,10.3,10.2,0.348,68.3,1.02
CB,7.2,6.9,0.158,35.5,1.09
ADI,10.7,7.9,0.261,56.3,1.07
CEG,20.6,21.3,0.322,35.1,0.87
IBN,24.0,18.0,0.349,11.8,0.38
HCA,17.9,18.1,0.319,40.8,1.02
LMT,9.6,7.2,0.255,173.4,0.48
COP,27.2,30.6,0.303,26.2,0.82
SMFG,14.3,11.2,0.164,16.0,0.72
VRTX,26.9,29.1,0.363,10.9,0.59
HOOD,17.0,14.5,0.111,34.5,0.48
MELI,40.2,48.2,0.319,10.9,0.63
MCK,10.6,11.8,0.159,7.1,0.89
ENB,14.4,13.0,0.27,11.3,0.31
KKR,10.2,9.9,0.254,6.1,0.7
PH,45.9,41.2,0.344,10.3,1.11
SCCO,12.9,9.3,0.234,26.5,0.82
ADP,10.5,11.2,0.34,13.9,0.85
MO,35.8,31.4,0.253,26.6,0.46
CME,10.4,9.3,0.298,31.7,0.82
SO,48.4,53.5,0.234,11.1,0.36
CMCSA,8.5,7.0,0.304,47.5,0.49
BN,10.1,11.3,0.284,27.8,0.64
CVS,11.1,9.0,0.329,25.6,0.83
NEM,23.9,24.3,0.237,46.0,0.54
SBUX,9.9,7.9,0.323,66.5,0.82
DUK,8.5,7.2,0.365,86.2,0.37
GSK,11.8,12.1,0.294,149.3,0.81
BMY,16.4,12.1,0.278,10.5,0.53
NKE,10.7,8.0,0.156,7.2,1.02
GD,19.2,21.5,0.39,4.9,0.46
BP,5.7,6.7,0.367,33.6,0.76
TT,15.9,17.0,0.142,28.6,0.43
MMM,34.3,25.2,0.303,16.0,0.8
NTES,42.1,30.9,0.275,22.2,0.43
ICE,13.9,14.3,0.266,4.2,0.77
DASH,23.1,21.5,0.277,13.1,0.56
WM,32.8,24.8,0.27,8.8,0.92
MMC,15.9,17.9,0.157,9.9,0.73
BMO,37.5,41.0,0.321,22.7,0.99
SNOW,22.4,26.7,0.335,7.6,0.75
SE,32.8,38.7,0.369,130.8,0.76
AMT,14.7,11.4,0.291,15.4,0.82
MCO,12.9,14.8,0.224,20.6,0.88
AEM,16.0,16.3,0.261,120.7,0.7
BNS,13.3,15.0,0.223,75.0,0.68
CDNS,4.3,3.7,0.353,11.4,0.46
ORLY,13.6,13.7,0.344,8.1,0.59
PBR,8.4,6.6,0.245,79.5,1.01
PBR-A,11.0,9.3,0.302,37.9,0.83
SHW,24.3,18.4,0.376,25.9,0.76
HWM,15.6,18.1,0.338,42.0,0.67
NOC,12.0,13.6,0.34,3.0,0.8
BAM,8.7,6.3,0.234,18.1,0.64
DELL,12.4,14.0,0.262,26.2,0.77
MFG,30.0,27.4,0.373,17.5,0.68
CM,47.0,38.5,0.251,30.7,0.7
UPS,45.5,33.4,0.349,13.1,0.58
MAR,4.8,4.8,0.304,59.4,0.92
ITUB,17.6,15.8,0.342,58.9,0.75
NU,11.1,10.1,0.329,50.5,0.65
TDG,18.0,13.1,0.298,2.3,0.43
EQIX,12.2,9.1,0.32,65.1,0.37
NGG,18.9,21.5,0.246,6.4,1.01
BK,11.2,11.0,0.144,32.2,1.02
ECL,28.5,31.2,0.344,17.6,1.12
AON,33.2,35.0,0.157,7.7,0.48
CRH,38.0,28.0,0.278,5.8,0.42
APO,12.5,11.7,0.322,6.7,0.65
CTAS,42.9,49.4,0.333,18.0,0.69
USB,4.8,4.7,0.327,6.9,0.54
BCS,12.4,14.7,0.142,159.8,0.49
CI,28.2,28.5,0.353,4.4,0.69
MDLZ,21.8,24.7,0.326,37.4,0.63
CVNA,8.1,7.7,0.242,38.1,0.95
INFY,108.1,122.4,0.275,35.0,0.56
ING,14.5,10.6,0.227,142.2,0.76
REGN,21.0,18.5,0.212,52.1,0.7
EMR,25.3,27.2,0.252,9.3,0.75
WMB,10.5,7.7,0.283,3.0,0.55
SNPS,16.5,11.9,0.331,48.1,0.49
PNC,14.6,13.7,0.369,78.3,0.45
RELX,30.0,29.8,0.256,46.7,0.64
CNQ,86.1,93.7,0.378,11.9,0.81
MNST,16.6,17.5,0.184,41.6,0.56
AMX,18.5,21.3,0.313,1.8,0.59
ELV,10.1,11.9,0.177,13.0,0.71
MRVL,23.6,21.9,0.348,12.8,0.98
GLW,22.0,20.6,0.261,9.6,0.74
COR,32.3,29.0,0.212,11.7,0.97
ITW,17.7,12.5,0.312,16.2,0.31
JCI,26.3,24.5,0.262,41.1,0.85
RCL,18.5,13.1,0.356,54.0,0.43
ABNB,19.0,17.7,0.284,18.1,0.46
COIN,16.0,18.8,0.309,10.4,0.46
RACE,23.0,17.8,0.247,8.9,0.49
NET,5.5,5.8,0.258,20.2,0.42
EPD,13.3,12.3,0.091,4.8,0.58
TEL,20.5,24.3,0.276,9.8,0.65
RBLX,16.6,13.0,0.349,7.7,0.77
SPG,42.0,29.6,0.325,10.0,0.54
LYG,19.3,13.8,0.355,42.3,0.89
RSG,6.3,7.3,0.263,30.2,0.53
PWR,25.5,29.6,0.347,13.4,1.06
CMI,54.1,51.8,0.197,82.4,0.86
VRT,16.3,12.9,0.341,1.5,0.8
DB,29.2,31.7,0.224,11.3,0.39
AEP,12.3,11.2,0.265,6.8,0.41
GM,26.9,24.5,0.333,12.7,0.55
AJG,38.6,39.8,0.342,30.5,1.14
TRV,26.5,28.6,0.348,59.3,0.82
B,22.2,25.1,0.349,31.2,0.73
AZO,17.3,15.4,0.337,18.9,0.65
CL,23.2,27.5,0.332,32.9,0.74
CSX,13.9,10.8,0.319,10.5,0.66
NSC,19.2,13.6,0.271,7.2,0.38
CP,9.8,7.2,0.204,13.0,0.63
HLT,22.2,22.6,0.357,7.7,0.71
FDX,17.2,13.0,0.359,6.6,0.41
ADSK,6.9,5.8,0.298,11.6,0.48
MSI,34.8,24.6,0.279,38.7,0.39
DDOG,20.2,20.0,0.266,4.3,0.79
NWG,22.2,17.6,0.268,4.0,0.45
ALNY,37.7,30.9,0.257,9.2,0.42
VST,13.7,14.2,0.283,5.0,0.61
TRI,28.0,20.6,0.327,9.2,0.38
EQNR,24.2,24.5,0.364,34.4,0.81
WDAY,27.5,19.6,0.383,12.3,1.02
KMI,12.2,9.0,0.36,10.0,0.93
SRE,10.0,9.7,0.332,34.8,0.83
FTNT,7.3,8.5,0.392,30.5,0.77
FCX,23.7,23.8,0.355,13.2,0.62
MPC,46.8,34.7,0.257,22.3,0.57
EOG,11.7,13.8,0.217,130.4,0.75
ET,7.6,8.6,0.191,14.4,0.68
CNI,24.3,27.9,0.368,276.1,0.63
AFL,27.2,28.9,0.324,2.5,0.88
E,14.6,16.6,0.266,19.2,0.74
WBD,28.9,34.2,0.332,15.0,0.36
TFC,11.3,10.0,0.232,71.9,0.45
MFC,19.3,14.2,0.27,30.4,0.54
STX,38.2,30.0,0.301,31.9,0.6
APD,50.3,39.2,0.366,51.1,0.58
ARGX,16.6,13.2,0.361,91.8,0.79
PYPL,17.4,17.8,0.339,10.9,1.0
TRP,22.9,24.7,0.301,11.7,0.61
DLR,13.5,13.2,0.367,64.4,0.54
IDXX,20.1,16.6,0.262,37.1,0.75
VLO,34.1,33.5,0.346,40.1,0.62
ALL,20.7,20.4,0.315,57.1,1.03
BDX,25.1,29.2,0.292,61.5,0.88
SU,17.7,18.4,0.153,143.0,0.91
MPLX,27.7,28.2,0.214,52.1,0.58
PSX,27.5,30.2,0.262,25.6,0.47
MSTR,26.0,22.8,0.272,28.0,0.73
SLB,10.1,11.2,0.255,12.0,0.6
LHX,19.8,14.7,0.28,3.6,0.68
WDC,14.2,15.4,0.263,6.0,0.54
O,11.6,12.0,0.258,3.0,0.71
ROST,19.7,18.8,0.356,18.5,0.71
VALE,4.1,4.0,0.294,68.3,0.75
ZTS,27.3,25.8,0.191,52.0,0.69
F,5.1,3.9,0.364,5.9,0.61
D,8.2,8.0,0.326,11.6,0.82
PCAR,21.5,19.1,0.197,30.0,0.95
URI,24.7,28.1,0.32,34.3,0.91
EA,8.1,6.0,0.322,10.4,0.98
CPNG,4.6,3.6,0.179,11.9,1.0
